Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
11/10/2017,"7 BRANRACH, SPRINGMOUNT, GLANMIRE",,Cork,"€91,900.00",Yes,No,Second-Hand Dwelling house /Apartment,
22/01/2010,"Glen Erin, Shanaghy, Ballina",,Mayo,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/09/2018,"5 Castleknock Cross, Beechpark Avenue, Castleknock",Dublin 15,Dublin,"€820,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
20/12/2012,"82 Garrybawn, Tom Bellew Avenue, Dundalk",,Louth,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/03/2020,"2  THE MEADOW, ROBSWALL, MALAHIDE",,Dublin,"€682,819.38",No,Yes,New Dwelling house /Apartment,
08/07/2021,"72 ARD AN LOCHA, MOATE, WESTMEATH",,Westmeath,"€255,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/01/2015,"TULLIG FARM, TULLIG, LEAP",,Cork,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/08/2012,"31 CURRAGH PLAINS, MELITTA ROAD",,Kildare,"€86,344.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
22/11/2013,"51 Woodland Drive, Collegewood, Mallow",,Cork,"€105,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
30/03/2020,"LISLACKAGH, SWINFORD, CO MAYO",,Mayo,"€193,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/06/2018,"7 BEECHPARK WOOD, EASTON, LEIXLIP",,Kildare,"€168,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2018,"17 SYDNEY PARADE AVE, BALLSBRIDGE, DUBLIN",Dublin 4,Dublin,"€1,200,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/06/2021,"2 NEW SESKIN COURT, TALLAGHT, DUBLIN 24",,Dublin,"€255,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2019,"APT 1, 20 MARYS STREET, GALWAY",,Galway,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/12/2013,"FAINLEOG, CARHUE, BANDON",,Cork,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/12/2020,"87 GLEANN RIADA, BALLYMINION, LONGFORD",,Longford,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/08/2012,"Ardagh, Drumlish",,Longford,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/04/2014,"MILL ST, DUNDALK, LOUTH",,Louth,"€112,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/07/2016,"8 Retirement Village, Windmill  Churchtown, Mallow",,Cork,"€89,000.00",No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
17/08/2018,"GREENACRE, GLASCARN, RATOATH",,Meath,"€425,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/03/2017,"55 LISSADEL AVE, DRIMNAGH, DUBLIN 12",Dublin 12,Dublin,"€224,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/02/2021,"APT 14 BLOCK H THE CAMPION, MARINA VILLAGE, GREYSTONES",,Wicklow,"€410,002.22",No,No,Second-Hand Dwelling house /Apartment,
11/12/2018,"5 WILLOWFIELD PARK, GOATSTOWN, DUBLIN 14",Dublin 14,Dublin,"€770,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/01/2019,"10 Beech Grove, Donegal Town",,Donegal,"€162,996.00",No,Yes,New Dwelling house /Apartment,
02/06/2021,"40 THE ELMS, WILLOWBROOK, LETTERKENNY",,Donegal,"€194,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/04/2019,"5 GLENBOWER PARK, CHURCHTOWN, DUBLIN 14",Dublin 14,Dublin,"€920,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/04/2017,"2 Belfield Abbey, Boreenmanna Road, Cork",,Cork,"€519,823.79",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
14/05/2010,"3 The Rise, Friars Hill, Wicklow",,Wicklow,"€330,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/11/2017,"47 ANNEVILLE CRESENT, WINDMILL RD, DROGHEDA",,Louth,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/08/2020,"17 Cluain Bui, Quinagh",,Carlow,"€185,022.00",No,Yes,New Dwelling house /Apartment,
30/04/2021,"11 THE ELMS, COLLEGE RD, CLANE",,Kildare,"€179,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/10/2013,"62 St Attracta Road, Cabra, Dublin 7",,Dublin,"€111,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/06/2016,"27 CABINTEELY WAY, CABINTEELY, DUBLIN 18",Dublin 18,Dublin,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/02/2012,"8 Beverton Wood, Donabate",,Dublin,"€260,000.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
03/06/2011,"12 New Street, Lismore",,Waterford,"€232,500.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2020,"18 Rathangan Manor, Rathangan",,Kildare,"€237,885.00",No,Yes,New Dwelling house /Apartment,
15/12/2021,"MEANUS, KILLORGLIN, CO KERRY",,Kerry,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/05/2019,"32 CHERRY HOUSE, MESPIL HOUSE FLATS, SUSSEX ROAD",Dublin 4,Dublin,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/11/2013,"32 Oakglade Hall, Naas",,Kildare,"€104,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/11/2016,"DERRERY, BALLAGH, CO LIMERICK",,Limerick,"€41,500.00",No,No,Second-Hand Dwelling house /Apartment,
26/01/2017,"22 COIS FARRAIGE, BLACKROCK, DUNDALK",,Louth,"€101,321.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
10/02/2016,"'Belvedere', 3 Bellevue Terrace, Bellevue Park  St Lukes",,Cork,"€360,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/10/2010,"2 Glen Abhainn, Meelick, Co Clare",,Clare,"€233,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2013,"19 BALLYGALL AVE, DUBLIN 11, DUBLIN",,Dublin,"€176,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/09/2012,"187 Clonmacnoise Rd, Crumlin, Dublin 12",Dublin 12,Dublin,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/07/2021,"15 COIS UISCE, REENRUSHEEN, CAHIRCIVEEN",,Kerry,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/10/2017,"4 Belltree Walk, Belltree, Clongriffin",,Dublin,"€281,938.33",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
21/06/2021,"24 THE RISE, WOODPARK, BALLINTEER",Dublin 16,Dublin,"€465,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/11/2018,"30 Taylor Hill Green, Taylor Hill, Balbriggan",,Dublin,"€350,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/03/2018,"52 PHIBSBORO RD, PHIBSBORO, DUBLIN 7",Dublin 7,Dublin,"€342,500.00",No,No,Second-Hand Dwelling house /Apartment,
23/11/2021,"87 COLLEGEFORT, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/09/2020,"11 MAGDALA TERRACE, GARDINERS HILL, CORK",,Cork,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/09/2012,"12  14  16 Bridge Street, Ringsend",Dublin 4,Dublin,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/03/2012,"107 Castlepark, Tallaght",Dublin 24,Dublin,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/02/2018,"5 THE AVENUE, GREENPARK MEADOWS, MULLINGAR",,Westmeath,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2019,"67 THE BRIARS, ASHBOURNE, CO MEATH",,Meath,"€216,983.00",No,No,Second-Hand Dwelling house /Apartment,
01/08/2017,"11 CLIFDEN RD, BALLYFERMOT, DUBLIN 10",Dublin 10,Dublin,"€226,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/11/2018,"32 MCDONAGH AVE, JANESBORO, LIMERICK",,Limerick,"€158,500.00",No,No,Second-Hand Dwelling house /Apartment,
29/01/2021,"98 HILLVIEW EST, BALLINTEER, DUBLIN 16",Dublin 16,Dublin,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/08/2011,"33 Home Farm Park, Drumcondra",,Dublin,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/04/2019,"RAHEENAKENNEDY, ADAMSTOWN, WEXFORD",,Wexford,"€262,500.00",No,No,Second-Hand Dwelling house /Apartment,
09/07/2014,"APT 6, 38 MARY ST, CORK",,Cork,"€851,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/11/2020,"6 THE WALK, OLDTOWN MILL, CELBRIDGE",,Kildare,"€371,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/06/2019,"199 Dundoogan, Haynestown, Dundalk",,Louth,"€200,264.32",No,Yes,New Dwelling house /Apartment,
07/10/2016,"KNOCKGLASS MORE, CAMP, TRALEE",,Kerry,"€112,900.00",No,No,Second-Hand Dwelling house /Apartment,
25/10/2012,"70 Lansdowne Park, Ballsbridge",Dublin 4,Dublin,"€435,500.00",No,No,Second-Hand Dwelling house /Apartment,
14/10/2011,"116 Furry Park Road, Killester, Dublin 5",Dublin 5,Dublin,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/03/2020,"2 CASTLE LODGE, CLONDULANE, FERMOY",,Cork,"€169,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/01/2014,"194 DUN EOIN, BALLINREA RD, CARRIGALINE",,Cork,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/07/2017,"APARTMENT OVER MOLLY MICKS, BARRACK STREET, BALLAGHADERREEN",,Roscommon,"€30,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/03/2019,"40 BALLYNEETY ROAD, BALLYFERMOT, DUBLIN 10",Dublin 10,Dublin,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/01/2021,"EL NIDOS, THE RANCH, ROSSLARE STRAND",,Wexford,"€550,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/03/2010,"67 Foxfield, Dooradoyle",,Limerick,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/03/2019,"ILLAUNMORE VIEW, CLONEYBRIEN UPPER, PORTROE",,Tipperary,"€237,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/09/2015,"29 THORNBURY, RAHEEN, LIMERICK",,Limerick,"€152,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/01/2013,"17 Moyview, Foxford",,Mayo,"€34,100.00",Yes,No,Second-Hand Dwelling house /Apartment,
10/08/2010,"Recallan, Kilmaley, Co Clare",,Clare,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/08/2020,"15 Oakwood Park, Derrinturn, Carbury",,Kildare,"€243,000.00",Yes,Yes,New Dwelling house /Apartment,
26/09/2018,"CORNER HOUSE, DOYLES CROSS, BROADWAY",,Wexford,"€131,250.00",No,No,Second-Hand Dwelling house /Apartment,
30/01/2019,"CASHEL RD, DUALLA, CASHEL",,Tipperary,"€40,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2012,"Apt 134  Alliance Building, The Gasworks Barrow Street, South Lotts Road",,Dublin,"€166,623.57",No,No,Second-Hand Dwelling house /Apartment,
12/07/2018,"CLONAGH, BALLICKMOYLER, CARLOW",,Laois,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/09/2021,"3 SUNSET COURT, CARRIGALINE, CORK",,Cork,"€264,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/08/2015,"LELAGH, RATHCABBIN, ROSCREA",,Tipperary,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/06/2018,"4 Cluain Aoibh, Clarina, County limerick",,Limerick,"€207,018.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
22/07/2011,"33 Oak Glade, Naas",,Kildare,"€241,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/04/2016,"41 Marlton Hall, Wicklow Town",,Wicklow,"€243,089.43",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
18/10/2017,"46 THE HAZELS, ELMFIELD, LEOPARDSTOWN",Dublin 18,Dublin,"€337,989.81",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/12/2014,"28 HEATHER DR, RATHFARNHAM, DUBLIN 16",Dublin 16,Dublin,"€460,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/08/2017,"SUMMERHILL HOUSE, CLONLARA, CLARE",,Clare,"€457,500.00",No,No,Second-Hand Dwelling house /Apartment,
09/03/2021,"37 MURELL DR, ARKLOW, WICKLOW",,Wicklow,"€124,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/10/2019,"18 Rahillion Way, Donabate, County Dublin",,Dublin,"€409,691.62",No,Yes,New Dwelling house /Apartment,
19/11/2021,"12 DONNYBROOK GARDENS, GREENFIELD PARK, DONNYBROOK",,Dublin,"€1,145,374.45",No,Yes,New Dwelling house /Apartment,
06/05/2020,"CLOUNLEHARD, BALLYHAHILL, LIMERICK",,Limerick,"€124,998.00",No,No,Second-Hand Dwelling house /Apartment,
18/05/2020,"15 ASHGROVE CLOSE, CARRIGALINE, CORK",,Cork,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/11/2015,"229 CRUISE PARK DR, TYRRELSTOWN, DUBLIN",Dublin 15,Dublin,"€198,030.00",Yes,No,Second-Hand Dwelling house /Apartment,
08/09/2016,"38 WILFIELD PARK, SANDYMOUNT, DUBLIN 4",Dublin 4,Dublin,"€1,025,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/06/2021,"BARRADUFF, KILLARNEY, KERRY",,Kerry,"€255,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2019,"6 Hallwell Road, Hallwell, Adamstown",,Dublin,"€352,423.00",No,Yes,New Dwelling house /Apartment,
25/11/2015,"40 BROADFIELD AVE, BROADFIELD MANOR, RATHCOOLE",Dublin 24,Dublin,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/10/2018,"18 BROOKE AVE, ROCKLANDS, CAVAN",,Cavan,"€156,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/06/2019,"INNER GARRUAN, TWO MILE BORRIS, THURLES",,Tipperary,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/08/2017,"APT 4 COURTSTOWN BOY, STABLE YARD, TENNYPARK",,Kilkenny,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/07/2011,"ESKER SOUTH, BALLINALEE",,Longford,"€95,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
10/05/2019,"31 Abbot Drive, Cualanor, Upper Gleangeary Road",,Dublin,"€779,735.00",No,Yes,New Dwelling house /Apartment,
28/10/2016,"20 MOYCOURT, BALLYMAHON, LONGFORD",,Longford,"€33,920.70",No,No,Second-Hand Dwelling house /Apartment,
26/11/2019,"BALLINTOGHER, BALLYBRITTAS, LAOIS",,Laois,"€580,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/08/2010,"11 Broadfield Drive, Broadfield Manor, Rathcoole",,Dublin,"€266,079.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
02/03/2016,"SHEEPFOLD LODGE, KILMULLEN LANE, NEWTOWN",,Wicklow,"€117,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/09/2016,"78 Roseland Avenue, Cualanor, Upper Glenageary Road",,Dublin,"€638,766.51",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
30/07/2012,"1 Lough Villas, The Lough",,Cork,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2020,"38 MOUNTROSS, NEW ROSS, WEXFORD",,Wexford,"€65,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
07/01/2011,"38 Hollyville Lawn, Palmerstown",Dublin 20,Dublin,"€351,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2016,"APT 33 DOWNSHIRE PLACE, EDENDERRY, CO OFFALY",,Offaly,"€68,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/08/2018,"125 ACADEMY SQ, NAVAN, MEATH",,Meath,"€128,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/04/2014,"22 ST BRIGID'S ROAD, PORTUMNA, CO GALWAY",,Galway,"€38,531.00",Yes,No,Second-Hand Dwelling house /Apartment,
10/06/2020,"29 RATHCARN, MONEYGALL",,Offaly,"€179,368.61",Yes,Yes,New Dwelling house /Apartment,
17/10/2019,"1 GLEBE LANDS, CASTLEPOLLARD, CO. WESTMEATH",,Westmeath,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/06/2019,"CHURCH ST, DROMCOLLOGHER, LIMERICK",,Limerick,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/08/2018,"18 HEYWARD MEWS, ROGANSTOWN, SWORDS",,Dublin,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/04/2012,"Cloontowart, Lisacul, Castlerea",,Roscommon,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/07/2017,"26 GLENN EADEN, KILLYCLUG, LETTERKENNY",,Donegal,"€101,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/12/2018,"7 Heathfiled View, Cappagh Road, Finglas",,Dublin,"€241,850.00",No,Yes,New Dwelling house /Apartment,
21/02/2019,"46 THE SQUARE, RIVERBANK, DROGHEDA",,Louth,"€122,500.00",No,No,Second-Hand Dwelling house /Apartment,
27/09/2021,"5 BEAL AN INBHIR, SHANAKYLE RD, KILRUSH",,Clare,"€112,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/08/2010,"41 The Willows, Classes Lake, Ovens",,Cork,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/08/2020,"29 The Drive, Barnhall Meadows, Leixlip",,Kildare,"€378,855.00",No,Yes,New Dwelling house /Apartment,
09/08/2010,"Channonrock, Carrick Road, Dundalk",,Louth,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/08/2011,"5 Castlemartin Park, Bettystown",,Meath,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/03/2021,"60 Mount William, Williamstown, Waterford",,Waterford,"€189,462.55",Yes,Yes,New Dwelling house /Apartment,
15/05/2017,"4  Dodderbrook Gardens, Dodderbrook, Oldcourt Road",,Dublin,"€351,938.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
18/12/2015,"24 FINNSTOWN HALL, HAYDENS LANE, LUCAN",,Dublin,"€157,500.00",No,No,Second-Hand Dwelling house /Apartment,
22/07/2015,"BALLYVAREEN, KILDIMO, LIMERICK",,Limerick,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/11/2011,"1 Temple Cottages, Broadstone",,Dublin,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/04/2020,"14 CONVENT ROAD, DONERAILE, CORK",,Cork,"€77,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/08/2016,"ANNAHOLTY, BIRDHILL, TIPPERARY",,Tipperary,"€297,500.00",No,No,Second-Hand Dwelling house /Apartment,
10/02/2016,"SHANNAGH, PORTSALON, LETTERKENNY",,Donegal,"€73,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/09/2021,"15 CLOGHANUARY, STONYLANE, ARDEE",,Louth,"€251,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/06/2015,"7 ORILIA TERRACE, COBH, CORK",,Cork,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2013,"TULLIG ROAD, WHITECHURCH, CORK",,Cork,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/06/2010,"19 Ardee Street, Bray",,Wicklow,"€82,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2012,"83 Adamstown Avenue, Adamstown",,Dublin,"€136,564.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
09/12/2015,"68 COLLEGE GATE, TOWNSEND ST, DUBLIN 2",Dublin 2,Dublin,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/10/2010,"3 Rathborne View, Rathborne Avenue, Ashtown",,Dublin,"€76,000.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
03/10/2017,"KILTOOM, CASTLEPOLLARD, CO. WESTMEATH",,Westmeath,"€62,500.00",No,No,Second-Hand Dwelling house /Apartment,
15/06/2011,"55 Quarry Road, Cabra, Dublin 7",,Dublin,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/09/2011,"11 The Waterfront, Lr Drumcondra Rd",,Dublin,"€193,833.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
15/03/2016,"19 CHARLES ST, LISTOWEL, KERRY",,Kerry,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/11/2021,"APT 21 BLOCK B, HOWTH JUNCTION COURT, ST DONAGHS PARK",Dublin 13,Dublin,"€271,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/07/2021,"8 OAKHILL, MOATE, WESTMEATH",,Westmeath,"€198,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/09/2020,"BALLINLAW, SLIEVERUE, KILKENNY",,Kilkenny,"€152,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/06/2018,"21 RAILWAY COURT, PEARSE ROAD, LETTERKENNY",,Donegal,"€20,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/06/2021,"8 FURLONG GROVE, SPOLLANSTOWN, TULLAMORE",,Offaly,"€152,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/08/2014,"56 MOUNTAIN VIEW DR, BRAY, WICKLOW",,Wicklow,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/10/2018,"REDFORD COTTAGE, REDFORD, GREYSTONES",,Wicklow,"€452,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/07/2011,"curryline, newtownforbes",,Longford,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/07/2020,"97 RATHBORNE AVE, ASHTOWN, DUBLIN 11",Dublin 15,Dublin,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/03/2019,"17 THE GROVE, MARTELLO VILLAGE, DUBLIN RD",,Louth,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/06/2019,"22 KILBELIN LAWNS, NEWBRIDGE, KILDARE",,Kildare,"€337,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/09/2015,"36 WELLINGTON LODGE, SERPENTINE AVE, BALLSBRIDGE DUBLIN 4",Dublin 4,Dublin,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/08/2021,"192, Drakes Point, Crosshaven",,Cork,"€246,696.04",Yes,Yes,New Dwelling house /Apartment,
23/11/2010,"2 Orpen Close, Blackrock",,Dublin,"€358,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/10/2020,"2 THE BUNGALOW, WATERSEDGE, LANESBORO",,Roscommon,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/02/2015,"1 BAWNLEA DRIVE, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,"€85,500.00",No,No,Second-Hand Dwelling house /Apartment,
18/03/2011,"10 The Pines, Canon's Wood, Bandon",,Cork,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/10/2013,"65 PAIRC NA GCAPALL, KILWORTH",,Cork,"€132,159.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
01/02/2018,"28 HANOVER DOCK, HANOVER QUAY, DUBLIN 2",Dublin 2,Dublin,"€1,500,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/02/2013,"44 Ashford, Castleforde, Ballyconnell",,Cavan,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/02/2010,"4 Carlton Park, Redcastle",,Donegal,"€147,158.59",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
15/09/2020,"MILLBANK, SHILLELAGH, CO WICKLOW",,Wicklow,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/08/2021,"13 ARBUTUS, MONTENOTTE",,Cork,"€720,000.00",No,Yes,New Dwelling house /Apartment,
18/04/2018,"42 DOUGLAS HOUSE, DOUGLAS, CORK",,Cork,"€167,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/02/2016,"LARAGAN EDMONDSTOWN, BALLAGHADERREEN, ROSCOMMON",,Roscommon,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2014,"BALLOOR, LOUISBURGH, MAYO",,Mayo,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2018,"6 THE BRIDGE APTS, AUSTIN FRIAR ST, MULLINGAR",,Westmeath,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/11/2014,"7 BEVERTON COURT, DONABATE, DUBLIN",,Dublin,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/10/2020,"CATHAIR NA SILINE, BAILE CHLAIR GALWAY, GALWAY",,Galway,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/12/2019,"5 BRIDLEWOOD, COLLINS AVENUE, WATERFORD",,Waterford,"€238,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2021,"37 FARRAN FERRIS PLACE, FARRANREE, CORK",,Cork,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/08/2017,"8 FISHERMANS QUAY, GROVE ISLAND, CORBALLY",,Limerick,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/08/2016,"37 WHITESTRAND ROAD, LOWER SALTHILL CO. GALWAY",,Galway,"€430,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/08/2021,"REHINS, BALLINA, MAYO",,Mayo,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/05/2017,"7 FACTORY HILL, GLANMIRE, CORK",,Cork,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/09/2014,"ASHLEY COTTAGE, QUINNS RD, SHANKILL DUBLIN 18",Dublin 18,Dublin,"€738,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/06/2019,"28 HAMMOND PLACE, DROMMAHANE, MALLOW",,Cork,"€56,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
21/12/2021,"4 CABBAGE LANE, BOHERMORE, GALWAY",,Galway,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2020,"27 St Josephs Green, clonsilla, Dublin 15",,Dublin,"€356,828.00",No,Yes,New Dwelling house /Apartment,
19/08/2015,"8 ROYAL OAK RD, BAGENALSTOWN, CO CARLOW",,Carlow,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/07/2016,"COOLCHOLLY, BALLYSHANNON, DONEGAL",,Donegal,"€196,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/09/2020,"35 HAVERTY RD, MARINO, DUBLIN 3",Dublin 3,Dublin,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/02/2018,"ANGLONT KILLORGLIN, KILLORGLIN, KERRY",,Kerry,"€345,000.00",No,No,Second-Hand Dwelling house /Apartment,
